Preprocessing Method,Num of Features,Encoding Method,Convolutional Layer Architecture,Num of Params,Pooling Architecture,Num of Params,Convs per Layer,Special Pooling,Pooling Direction,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Confusion Matrix
PCA,8,Angle Embedding,3,2,1,3,1,No,Top half,tensor(0.7530),0.8681541582150102,0.8458498023715415,0.8568568568568569,0.47771942173371595,0.8690430490609341,"[[16, 130], [156, 856]]"
PCA,8,Angle Embedding,3,2,1,3,1,No,Top half,tensor(0.7547),0.868421052631579,0.8478260869565217,0.858,0.47870756402620607,0.8692579330732779,"[[16, 130], [154, 858]]"
PCA,8,Angle Embedding,3,2,1,3,2,No,Top half,tensor(0.7418),0.8686659772492245,0.8300395256916996,0.8489135927235979,0.4800882559965347,0.8695590473812229,"[[19, 127], [172, 840]]"
PCA,8,Angle Embedding,3,2,1,3,2,No,Top half,tensor(0.7496),0.8698770491803278,0.8389328063241107,0.8541247484909457,0.48453489631274027,0.8705283249411602,"[[19, 127], [163, 849]]"
PCA,8,Angle Embedding,3,2,1,3,2,No,Top half,tensor(0.7530),0.8711656441717791,0.841897233201581,0.856281407035176,0.48944176728572203,0.8716012028287357,"[[20, 126], [160, 852]]"
PCA,8,Angle Embedding,3,2,2,9,1,No,Top half,tensor(0.7418),0.8671472708547889,0.8320158102766798,0.849218356026223,0.47422708322053164,0.8682850751134658,"[[17, 129], [170, 842]]"
PCA,8,Angle Embedding,3,2,2,9,1,No,Top half,tensor(0.7599),0.8699596774193549,0.8527667984189723,0.8612774451097804,0.48460257729167794,0.8705428497646053,"[[17, 129], [149, 863]]"
PCA,8,Angle Embedding,3,2,2,9,1,No,Top half,tensor(0.7660),0.8731117824773413,0.8567193675889329,0.8648379052369077,0.496852834479398,0.8732276635830278,"[[20, 126], [145, 867]]"
PCA,8,Angle Embedding,3,2,2,9,2,No,Top half,tensor(0.7401),0.8699271592091571,0.8260869565217391,0.8474404460212873,0.48496128648004766,0.8706216624209611,"[[21, 125], [176, 836]]"
PCA,8,Angle Embedding,3,2,2,9,2,No,Top half,tensor(0.7504),0.8722966014418125,0.8369565217391305,0.8542612203731719,0.4938207266229899,0.8725613760997283,"[[22, 124], [165, 847]]"
PCA,8,Angle Embedding,3,2,2,9,2,No,Top half,tensor(0.7504),0.8707692307692307,0.8389328063241107,0.8545546049320585,0.48795955384698686,0.8712768053452893,"[[20, 126], [163, 849]]"
PCA,8,Angle Embedding,3,2,3,2,1,No,Top half,tensor(0.7358),0.8677083333333333,0.8231225296442688,0.8448275862068965,0.4766297579728193,0.8688071349761411,"[[19, 127], [179, 833]]"
PCA,8,Angle Embedding,3,2,3,2,1,No,Top half,tensor(0.7504),0.8692543411644535,0.8409090909090909,0.8548468106479156,0.4820983810709838,0.8699966929959997,"[[18, 128], [161, 851]]"
PCA,8,Angle Embedding,3,2,3,2,1,No,Top half,tensor(0.7530),0.8681541582150102,0.8458498023715415,0.8568568568568569,0.47771942173371595,0.8690430490609341,"[[16, 130], [156, 856]]"
PCA,8,Angle Embedding,3,2,3,2,2,No,Top half,tensor(0.7513),0.8693877551020408,0.841897233201581,0.855421686746988,0.4825924522172289,0.8701044029399837,"[[18, 128], [160, 852]]"
PCA,8,Angle Embedding,3,2,3,2,2,No,Top half,tensor(0.7530),0.869653767820774,0.8438735177865613,0.8565697091273822,0.483580594509719,0.8703199259307427,"[[18, 128], [158, 854]]"
